Identifiant entrepôt,Nom court de l'emplacement,Description entrepôt,Lieu entrepôt,Adresse,Code postal,Ville,Departement,Code pays,Téléphone,Fax,État,Entrepôt parent,Nom court de l'emplacement,
407,FRIG-A12,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
408,FRIG-A22,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
409,FRIG-A32,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
410,FRIG-A42,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
411,FRIG-A52,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
412,FRIG-A11,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
413,FRIG-A21,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
414,FRIG-A31,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
415,FRIG-A41,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
416,FRIG-A51,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
417,FRIG-B12,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
418,FRIG-B22,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
419,FRIG-B32,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
420,FRIG-B42,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
421,FRIG-B11,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
422,FRIG-B21,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
423,FRIG-B31,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
424,FRIG-B41,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
425,FRIG-C12,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
426,FRIG-C22,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
427,FRIG-C32,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
428,FRIG-C42,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
429,FRIG-C11,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
430,FRIG-C21,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
431,FRIG-C31,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
432,FRIG-C41,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
433,FRIG-D12,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
434,FRIG-D22,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
435,FRIG-D32,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
436,FRIG-D42,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
437,FRIG-D11,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
438,FRIG-D21,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
439,FRIG-D31,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
440,FRIG-D41,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
441,FRIG-P1,Frais picking ,Stock en attente d'expe,,,,,,,,1,368,FRIG-MAIN,
